Tweet
['bed']
['felt', 'first', 'flash', 'violenc', 'fool', 'bump', 'piti', 'fool']
['ladi', 'drink', 'free', 'till']
['watch', 'miranda', 'back', 'merchant', 'u', 'hilari']
['shop', 'kohl']
['mess']
['twitter', 'friend', 'cant', 'stick']
['fall', 'apart', 'broken', 'heart', 'bare', 'breath']
['oh', 'god', 'go', 'way', 'back', 'loveth']
['way', 'treat', 'way', 'accept', 'much', 'care', 'make', 'perfect']
['wan', 'na', 'pull', 'sled', 'four', 'wheeler']
['oh', 'fake', 'door', 'slam', 'nois', 'ugh', 'cab']
['cool', 'wan', 'na', 'see', 'u']
['haha', 'never', 'told', 'post', 'like', 'guard', 'yadda']
['tennesse', 'bear', 'mountain', 'lion', 'round', 'part']
['right', 'without', 'wrong', 'first']
['young', 'occup']
['ah', 'okay', 'old', 'ate', '13']
['rain', 'bitch', 'dick', 'least', '3', 'chick', 'york', 'hoe', 'easi', 'game', 'chang', 'babi', 'haha']
['74', 'stripper', 'would', 'name', 'trixi', 'trick', 'girl', 'boy', 'name']
['alexei', 'feel', 'even', 'bed', 'truli', 'feel', 'reli', 'sick', 'shitti']
['gone', 'continu']
['even', 'parti']
[]
['eye', 'budapest']
['drink', 'mama', 'littl', 'yella', 'piss']
['hurrah', 'la', 'vega', '80', 'holder', 'poker', 'tournament', '20', 'bounti']
[]
['haha', 'way']
['grade', 'top', 'notch']
['priceless', 'god', 'bless']
['yeah', 'fuck', 'fan', 'aint', 'scare']
['real', 'true', 'opposit', 'real', 'fake']
['whistl', 'babi']
['1999', 'hot', 'veneer', 'press', 'pleas', 'feel', 'free', 'make', 'offer', 'offer', 'consid']
['serious', 'feel', 'betray']
['coleman', 'ye', 'ye']
['plug', 'comput']
['straight', 'ignor']
['feel', 'somebodi', 'punch', 'cat', 'see', 'nasti']
['text', 'save', 'u', 'headach']
['good', 'wed']
['red', 'buzz']
['oo', 'mockingli', 'say', 'serbian']
['girl', 'store']
['ear', 'hurt', 'much']
['safe', 'say', 'tear', 'averag', 'year', 'one', 'night', 'le', 'mi', 'shame']
['jink', 'know', 'pass']
['stabilis']
[]
