Tweet
['bed']
['felt', 'first', 'flash', 'violenc', 'fool', 'bump', 'piti', 'fool']
['ladi', 'drink', 'get', 'free', 'till']
['watch', 'miranda', 'back', 'merchant', 'u', 'hilari']
['shop', 'kohl']
['mess']
['twitter', 'friend', 'cant', 'stick']
['fall', 'apart', 'break', 'heart', 'bare', 'breath']
['oh', 'god', 'go', 'way', 'back', 'loveth']
['way', 'treat', 'way', 'accept', 'love', 'much', 'care', 'make', 'perfect']
['wan', 'na', 'get', 'pull', 'sled', 'four', 'wheeler']
['oh', 'fake', 'door', 'slam', 'nois', 'ugh', 'cab']
['cool', 'wan', 'na', 'see', 'u', 'get']
['haha', 'never', 'get', 'tell', 'post', 'like', 'guard', 'yadda']
['tennesse', 'bear', 'mountain', 'lion', 'round', 'part']
['ca', 'right', 'without', 'wrong', 'first']
['young', 'occup']
['ah', 'okay', 'old', 'eat', '13']
['rain', 'bitch', 'get', 'dick', 'least', '3', 'chick', 'york', 'hoe', 'easi', 'game', 'chang', 'babi', 'haha']
['74', 'stripper', 'would', 'name', 'trixi', 'trick', 'girl', 'boy', 'name']
['alexei', 'feel', 'ca', 'even', 'get', 'bed', 'truli', 'feel', 'reli', 'sick', 'shitti']
['go', 'continu', 'want']
['even', 'parti']
[]
['eye', 'budapest']
['drink', 'mama', 'littl', 'yella', 'piss']
['hurrah', 'la', 'vega', '80', 'holder', 'poker', 'tournament', '20', 'bounti']
[]
['haha', 'way']
['grade', 'top', 'notch']
['priceless', 'god', 'bless']
['yeah', 'fuck', 'fan', 'aint', 'scar']
['real', 'true', 'opposit', 'real', 'fake']
['whistl', 'babi']
['1999', 'job', 'hot', 'veneer', 'press', 'pleas', 'feel', 'free', 'make', 'offer', 'offer', 'consid']
['serious', 'feel', 'betray']
['coleman', 'ye', 'ye']
['plug', 'comput']
['straight', 'ignor']
['feel', 'like', 'somebodi', 'punch', 'cat', 'see', 'nasti']
['text', 'save', 'u', 'headach']
['good', 'wed']
['red', 'buzz']
['oo', 'mockingli', 'say', 'serbian']
['girl', 'store']
['ear', 'hurt', 'much']
['safe', 'say', 'tear', 'averag', 'year', 'one', 'night', 'le', 'mi', 'shame']
['jink', 'know', 'pass']
['stabilis']
[]
['damn', 'ex', 'cri', 'babi', 'dont', 'wan', 'na', 'talk']
['devast']
[]
['luke', 'profil', 'pictur', 'ador']
['mandarin', 'buffet']
['babi', 'complet', 'frozen', 'way', 'drive', 'shit', 'time', 'soon']
['well', 'instead', 'scar', 'scar']
['everyth', 'want', 'happen', 'happen', 'suh', 'hate', 'life', 'right']
['fuck', 'liam', 'payn', 'tweet', 'dark', 'get', 'retweet', '24', 'favorit', 'wat']
['flip', 'phone', 'shawti']
['funni', 'everi', 'situat', 'go', 'threw', 'aloud', 'tell', 'ur', 'best', 'friend', 'ca', 'toad']
['godli', 'person', 'religi', 'one', 'matter', 'mostli', 'logic', 'grow', 'pretend', 'sayin']
['happi', 'birthday', 'handsom', 'guy', 'name']
[]
['ugh', 'need', 'hurri', 'hell', 'get', 'outta', 'work']
['okay', 'good', 'pleas', 'come', 'talk', 'javelin', 'ye', 'saturday', 'sunday', 'monday', 'amp', 'tuesday']
['sadli', 'lose', 'dock', 'station', 'arriv', 'annoy', 'want', 'item', 'replac', 'asap']
['catfish', 'need', 'hood', 'pal', 'though', 'would', 'funni']
['final', 'bedtim', 'good', 'freak']
['bum', 'mix', 'quickli', 'pitch', 'quick', 'invit']
['aww', 'cute', 'text', 'everi', 'fucker', 'world', 'shock']
['sleep', 'weak', 'week']
['wish', 'would', 'text']
['im', 'tha', 'one', 'hous']
['buy', 'al', 'father', 'orang', 'grape', 'vanilla', 'gon', 'na', 'vanilla', 'twilight']
['male', 'hehe']
['set', 'alarm', 'first', 'time', 'week']
['baltimor', 'go', 'crazi', 'celebr', 'begin']
['get', 'day', 'amp', 'night', 'mix', 'like', 'ima', 'newborn', 'sum']
['bug', 'like', 'get', 'lot', 'nice', 'cloth', 'ah']
['bit', 'happen']
['love', 'beyonc', 'eyebrow']
['okay', '3']
['call', 'u', 'bitch', 'dummi']
['last', 'know', 'haha']
['ord']
['bout', 'divis', 'nana', 'diner']
['dear', 'far', 'best', 'bit', 'kill']
['good', 'happi', 'turn', 'music', 'time']
['exam', 'definit', 'gon', 'na', 'get', 'togeth', 'friend']
['dens', 'fog', 'advisori', 'issu', 'januari', '23', 'cut', 'januari', '24', 'cut', 'news', 'lake', 'charl']
[]
['everyth', 'make', 'sens', 'legal', 'pad']
['stop', 'love', 'stop', 'show', 'inspir', 'wakka']
['time', 'work']
['gay', 'take', 'pic', 'wit', 'y', 'all', 'finger', 'y', 'all', 'ass', 'amp', 'post', 'internet', 'beyond']
['dancehal', 'artist', 'still', 'get', 'mad', 'ovum', 'busi', 'signal']
['wan', 'na', 'get', 'bed', 'gon', 'na', 'long', 'day']
['chose', 'safe', 'enough', 'mag', 'dump', 'contact', 'distanc', 'steel', 'amp', 'impress', 'effect', 'soft', 'tissu']
['fuckin', 'nigga']
['rang', '999', 'tell', 'u', 'go', 'away', 'rude']
